n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
23,44.0,0.18818187713623047,70.1,360p,30,JPEG,host,172.27.143.164,0.13275420665740967,172.27.143.164,0.04109084606170654,0,0.25,0.2505,0,0.25,0.2505,2,0.012,0.0029248966667412305,2,0.012,0.0029248966667412305,host,172.27.143.164,0.0554276704788208,172.27.143.164,0.03260993957519531,0,0.75,0.6657500000000001,0,0.75,0.6657500000000001,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
24,45.0,0.18529200553894043,70.1,360p,30,JPEG,host,172.27.143.164,0.13357758522033691,172.27.143.164,0.045470476150512695,0,0.25,0.25225000000000003,0,0.25,0.25225000000000003,2,0.012,0.0029248966667412305,2,0.012,0.0029248966667412305,host,172.27.143.164,0.051714420318603516,172.27.143.164,0.03174948692321777,0,0.75,0.7475,0,0.75,0.7475,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
25,46.0,0.21322107315063477,70.2,360p,30,JPEG,host,172.27.143.164,0.16732943058013916,172.27.143.164,0.04131495952606201,0,0.25,0.25225000000000003,0,0.25,0.25225000000000003,2,0.012,0.0029248966667412305,2,0.012,0.0029248966667412305,host,172.27.143.164,0.045891642570495605,172.27.143.164,0.032572269439697266,0,0.75,0.7475,0,0.75,0.7475,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
26,47.0,0.21363627910614014,70.2,360p,30,JPEG,host,172.27.143.164,0.15327787399291992,172.27.143.164,0.03946959972381592,0,0.2,0.209,0,0.2,0.209,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.060358405113220215,172.27.143.164,0.03383040428161621,0,0.75,0.8675,0,0.75,0.8675,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
27,48.0,0.20363664627075195,70.2,360p,30,JPEG,host,172.27.143.164,0.16280174255371094,172.27.143.164,0.06303942203521729,0,0.2,0.21175,0,0.2,0.21175,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.040834903717041016,172.27.143.164,0.03177487850189209,0,0.75,0.59925,0,0.75,0.59925,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
28,49.0,0.20006275177001953,70.2,360p,30,JPEG,host,172.27.143.164,0.1589258909225464,172.27.143.164,0.03849911689758301,0,0.2,0.21225000000000002,0,0.2,0.21225000000000002,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.041136860847473145,172.27.143.164,0.033228516578674316,0,0.75,0.909,0,0.75,0.909,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
29,50.0,0.22590649127960205,70.2,360p,30,JPEG,host,172.27.143.164,0.16899144649505615,172.27.143.164,0.03811490535736084,0,0.2,0.21225000000000002,0,0.2,0.21225000000000002,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.0569150447845459,172.27.143.164,0.030107736587524414,0,0.75,0.909,0,0.75,0.909,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
30,51.0,0.19144797325134277,70.2,360p,30,JPEG,host,172.27.143.164,0.15267908573150635,172.27.143.164,0.058080196380615234,0,0.2,0.207,0,0.2,0.207,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.038768887519836426,172.27.143.164,0.035123348236083984,0,0.75,0.67925,0,0.75,0.67925,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
31,52.0,0.21878516674041748,70.2,360p,30,JPEG,host,172.27.143.164,0.16782677173614502,172.27.143.164,0.04054450988769531,0,0.2,0.22075,0,0.2,0.22075,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.05095839500427246,172.27.143.164,0.03124845027923584,0,0.75,0.9325,0,0.75,0.9325,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
32,53.0,0.4098891019821167,70.2,360p,5,JPEG,host,172.27.143.164,0.19737672805786133,172.27.143.164,0.04022657871246338,0,0.2,0.201,0,0.2,0.201,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.21251237392425537,172.27.143.164,0.04723477363586426,0,0.75,0.71,0,0.75,0.71,2,0.008,0.007272474207074134,2,0.008,0.007272474207074134
