n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
60,306.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,352.54740908443426,0.0,0.25999367237091064,0.02188563346862793,0.018927693367004395,0.19007956981658936,0.029100775718688965,79.0
61,307.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,355.85902047901516,0.0,0.24072587490081787,0.020168185234069824,0.02037334442138672,0.17177844047546387,0.02840590476989746,79.0
62,308.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4349.433802900037,0.0,0.332000732421875,0.020937681198120117,0.0939704179763794,0.18342864513397217,0.03366398811340332,79.0
63,310.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4302.759550932363,0.0,0.22178522745768228,0.014185825983683268,0.06186326344807943,0.12546920776367188,0.020266930262247712,79.0
64,313.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4419.414702297588,0.0,0.16499227285385132,0.01018446683883667,0.045993268489837646,0.09348899126052856,0.015325546264648438,79.0
65,315.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4415.333424111396,0.0,0.21359848976135254,0.013738234837849935,0.06262938181559245,0.11641494433085124,0.020815928777058915,79.0
66,318.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4357.094938770701,0.0,0.15952813625335693,0.010165631771087646,0.04644930362701416,0.08775526285171509,0.015157938003540039,79.0
67,320.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4426.2812960835045,0.0,0.2904074192047119,0.016103029251098633,0.09988037745157878,0.1420602003733317,0.03236381212870282,79.5
68,323.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4432.991305333363,0.0,0.17564880847930908,0.012179970741271973,0.052715837955474854,0.09524011611938477,0.01551288366317749,79.5
69,325.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4382.473247774777,0.0,0.31051357587178546,0.018428881963094074,0.09958132108052573,0.14019672075907388,0.0523066520690918,79.5
70,328.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,10,1080p,7.0,4434.782628338651,0.0,0.16670483350753784,0.010914325714111328,0.049213707447052,0.09103453159332275,0.015542268753051758,79.5
71,330.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,4446.961010636429,0.0,0.13282132148742676,0.01352381706237793,0.06492241223653157,0.044257164001464844,0.010117928187052407,79.5
72,331.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,630.9855110852056,0.0,0.14473116397857666,0.013647794723510742,0.039449214935302734,0.05959916114807129,0.032034993171691895,79.5
73,332.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,643.0404936954146,0.0,0.14034461975097656,0.009708762168884277,0.03631258010864258,0.06244218349456787,0.031881093978881836,79.5
74,333.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,637.6079095127394,0.0,0.13625967502593994,0.009848237037658691,0.033559560775756836,0.061031341552734375,0.03182053565979004,79.5
75,334.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,650.4668273128003,0.0,0.1377485990524292,0.007797360420227051,0.03656899929046631,0.059399962425231934,0.033982276916503906,79.5
76,335.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,660.044587788854,0.0,0.21477317810058594,0.009772777557373047,0.037377238273620605,0.13492333889007568,0.0326998233795166,79.5
