n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay
20,250.0,0.029437624491178073,73.7,720p,1,JPEG,host,172.27.151.145,0.001572287999666654,172.27.151.145,0.0112303587106558,host,172.27.151.145,0.013288662983820988,172.27.151.145,0.0033463147970346305
21,275.0,0.4028548919237577,73.7,480p,30,JPEG,host,172.27.143.164,0.17713207464951736,172.27.143.164,0.004664943768427909,host,172.27.143.164,0.21837213406196007,172.27.143.164,0.002685739443852364
22,276.0,0.3154184818267822,73.7,480p,30,JPEG,host,172.27.143.164,0.048119187355041504,172.27.143.164,0.028764843940734863,host,172.27.143.164,0.20651650428771973,172.27.143.164,0.03201794624328613
23,277.0,0.27721643447875977,73.7,480p,30,JPEG,host,172.27.143.164,0.027462005615234375,172.27.143.164,0.0243910551071167,host,172.27.143.164,0.19529938697814941,172.27.143.164,0.030063986778259277
24,278.0,0.28643274307250977,73.7,480p,30,JPEG,host,172.27.143.164,0.026326417922973633,172.27.143.164,0.03173673152923584,host,172.27.143.164,0.19962787628173828,172.27.143.164,0.02874171733856201
25,279.0,0.30833160877227783,73.7,480p,30,JPEG,host,172.27.143.164,0.0233457088470459,172.27.143.164,0.02520895004272461,host,172.27.143.164,0.22784066200256348,172.27.143.164,0.03193628787994385
26,280.0,0.4137747287750244,92.5,480p,30,JPEG,host,172.27.143.164,0.029053092002868652,172.27.143.164,0.029918193817138672,host,172.27.143.164,0.31536877155303955,172.27.143.164,0.03943467140197754
27,281.0,0.3124774694442749,92.5,480p,30,JPEG,host,172.27.143.164,0.030537843704223633,172.27.143.164,0.028467416763305664,host,172.27.143.164,0.22070813179016113,172.27.143.164,0.03276407718658447
28,282.0,0.29348599910736084,92.5,480p,30,JPEG,host,172.27.143.164,0.02357947826385498,172.27.143.164,0.0270233154296875,host,172.27.143.164,0.21349895000457764,172.27.143.164,0.029384255409240723
29,283.0,0.29416561126708984,92.5,480p,30,JPEG,host,172.27.143.164,0.025518417358398438,172.27.143.164,0.024578213691711426,host,172.27.143.164,0.21508729457855225,172.27.143.164,0.028981685638427734
30,284.0,0.2819790840148926,92.5,480p,30,JPEG,host,172.27.143.164,0.02827775478363037,172.27.143.164,0.025272130966186523,host,172.27.143.164,0.19958186149597168,172.27.143.164,0.028847336769104004
