n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
39,610.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,368.55729615211436,0.0,0.08426062266031902,0.0073490142822265625,0.0065385500590006505,0.06055204073588053,0.009821017583211265,78.3
40,615.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,360p,7.0,360.39160668948483,0.0,0.10428345203399658,0.00970760981241862,0.01722522576649984,0.06686607996622722,0.010484536488850907,78.5
41,620.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,362.7320226295186,0.0,0.07515843709309895,0.003653566042582194,0.027824163436889645,0.030167023340861004,0.01351368427276611,78.5
42,621.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,363.35091703440827,0.0,0.1712280511856079,0.009090781211853027,0.045670509338378906,0.07012295722961426,0.04634380340576172,78.5
43,623.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,359.69819336501365,0.0,0.10601528485616049,0.005775610605875651,0.02607242266337077,0.04773839314778646,0.026428858439127602,78.5
44,625.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,365.7945730677623,0.0,0.13254276911417642,0.0050640106201171875,0.05187312761942545,0.04727951685587565,0.02832611401875814,78.5
45,628.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,376.2386517070866,0.0,0.09745550155639648,0.004886329174041748,0.02712637186050415,0.0395166277885437,0.025926172733306885,78.5
46,630.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,376.38184868908553,0.0,0.10900521278381348,0.006866057713826497,0.030220667521158855,0.03998645146687826,0.03193203608194987,78.5
47,633.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,364.4098925240022,0.0,0.07609325647354126,0.005026340484619141,0.020560503005981445,0.029389381408691406,0.021117031574249268,78.5
48,635.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,368.3053943863114,0.0,0.10328594843546549,0.00739439328511556,0.02965497970581055,0.03895854949951172,0.027278025945027665,78.5
49,638.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,356.535366909566,0.0,0.08622878789901733,0.004854142665863037,0.017785251140594482,0.04527449607849121,0.018314898014068604,78.5
50,640.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,353.9062502495529,0.0,0.09246238072713217,0.0065339406331380205,0.02103694279988607,0.036791086196899414,0.028100411097208663,78.5
