n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay
14,14.0,0.39554738998413086,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.01049494743347168,114.212.81.11,0.15887582302093506,host,172.27.143.164,0.21654856204986572,172.27.143.164,0.009628057479858398
15,15.0,0.36855292320251465,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.008952856063842773,114.212.81.11,0.14986729621887207,host,172.27.143.164,0.20017540454864502,172.27.143.164,0.009557366371154785
16,16.0,0.3926948308944702,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.010220170021057129,114.212.81.11,0.16027510166168213,host,172.27.143.164,0.21180403232574463,172.27.143.164,0.010395526885986328
17,17.0,0.3917412757873535,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.009316802024841309,114.212.81.11,0.1648017168045044,host,172.27.143.164,0.20815753936767578,172.27.143.164,0.009465217590332031
18,18.0,0.3723198175430298,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.012018442153930664,114.212.81.11,0.15011882781982422,host,172.27.143.164,0.2008683681488037,172.27.143.164,0.009314179420471191
19,19.0,0.3854023218154907,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.01011502742767334,114.212.81.11,0.16338777542114258,host,172.27.143.164,0.2001878023147583,172.27.143.164,0.011711716651916504
20,20.0,0.3872259855270386,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.008551597595214844,114.212.81.11,0.16685473918914795,host,172.27.143.164,0.20166099071502686,172.27.143.164,0.010158658027648926
21,21.0,2.0744524002075195,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.010226249694824219,114.212.81.11,0.14723002910614014,host,172.27.151.145,1.8200901746749878,172.27.151.145,0.09690594673156738
22,22.0,0.47429919242858887,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.011900067329406738,114.212.81.11,0.19616878032684326,host,172.27.151.145,0.21492350101470947,172.27.151.145,0.051306843757629395
23,23.0,0.4075738191604614,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.008850693702697754,114.212.81.11,0.16286957263946533,host,172.27.151.145,0.1690354347229004,172.27.151.145,0.06681811809539795
24,24.0,0.40678977966308594,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.010121703147888184,114.212.81.11,0.15385568141937256,host,172.27.151.145,0.1706923246383667,172.27.151.145,0.0721200704574585
25,25.0,0.39964723587036133,84.4,1080p,30,JPEG,cloud,114.212.81.11,0.011858224868774414,114.212.81.11,0.15725278854370117,host,172.27.151.145,0.1852349042892456,172.27.151.145,0.04530131816864014
26,26.0,0.4702843427658081,84.4,1080p,30,JPEG,cloud,114.212.81.11,0.010062813758850098,114.212.81.11,0.1513373851776123,host,172.27.151.145,0.2060788869857788,172.27.151.145,0.1028052568435669
27,27.0,0.42832696437835693,84.4,1080p,30,JPEG,cloud,114.212.81.11,0.01173853874206543,114.212.81.11,0.16556966304779053,host,172.27.151.145,0.18484807014465332,172.27.151.145,0.06617069244384766
28,28.0,0.3962007761001587,84.4,1080p,30,JPEG,cloud,114.212.81.11,0.009017705917358398,114.212.81.11,0.15343594551086426,host,172.27.151.145,0.1822528839111328,172.27.151.145,0.05149424076080322
29,29.0,0.4383103847503662,84.4,1080p,30,JPEG,cloud,114.212.81.11,0.010467052459716797,114.212.81.11,0.15152037143707275,host,172.27.151.145,0.1837061643600464,172.27.151.145,0.09261679649353027
